Nomor,Nama,Stok,Harga
CMP001,Oli Mesin,120,29.99
CMP002,Kampas Rem,60,45.50
CMP003,Filter Udara,100,15.25
CMP004,Busi,200,9.75
CMP005,Aki,40,85.00
CMP006,Radiator,25,120.00
CMP007,Pompa Bensin,30,99.99
CMP008,Alternator,20,150.00
CMP009,Dinamo Starter,18,135.75
CMP010,Tali Kipas,50,40.25
CMP011,Piringan Rem,70,55.00
CMP012,Lampu Depan,45,60.99
CMP013,Lampu Belakang,50,45.00
CMP014,Selang Radiator,80,12.50
CMP015,Thermostat,65,19.95
CMP016,Filter Oli,110,11.49
CMP017,Kit Kopling,15,210.00
CMP018,As Roda,22,175.25
CMP019,Shockbreaker,33,88.88
CMP020,Pipa Knalpot,28,130.40
CMP021,Dinamo Kaca,35,75.00
CMP022,Gagang Pintu,55,18.25
CMP023,Spion,38,95.99
CMP024,Dongkrak Mobil,70,22.10
CMP025,Injector Bensin,45,110.60
CMP026,Laher Roda,62,44.20
CMP027,As Gardan,26,140.00
CMP028,Koil Pengapian,90,39.90
CMP029,Karet Wiper,200,8.99
CMP030,Klakson,77,13.30
CMP031,Kompresor AC,12,250.00
CMP032,Heater Core,18,120.00
CMP033,Motor Blower,21,85.45
CMP034,Knalpot Belakang,30,145.55
CMP035,Katalis Knalpot,10,300.00
CMP036,Noken As,16,220.00
CMP037,Poros Engkol,12,330.00
CMP038,Dudukan Mesin,44,60.50
CMP039,Transmisi,6,950.00
CMP040,Lengan Ayun,20,130.00
CMP041,Ball Joint,75,35.00
CMP042,Ujung Tie Rod,78,24.95
CMP043,Rak Kemudi,14,410.00
CMP044,Throttle Body,19,120.50
CMP045,Sensor Oksigen,65,55.99
CMP046,Sensor MAP,50,44.30
CMP047,Sensor ABS,58,70.75
CMP048,Velg Roda,22,125.00
CMP049,Ban Mobil,32,100.00
CMP050,Tutup Radiator,100,9.99
CMP051,piring cantik,12,15.00
